confidence_tier	confidence_score	normalized_label	label_1	id_1	ontology_1	label_2	id_2	ontology_2	in_ordered_mapping_best_dict
exact_norm	1.0	454 sequencing	454 Sequencing	http://purl.obolibrary.org/obo/NCIT_C146809	NCIT	454 Sequencing	http://www.ebi.ac.uk/efo/EFO_0005016	EFO	False
exact_norm	1.0	affinity chromatography	Affinity Chromatography	http://purl.obolibrary.org/obo/NCIT_C16432	NCIT	affinity chromatography	http://purl.obolibrary.org/obo/CHMO_0001006	CHMO	False
exact_norm	1.0	affinity chromatography	Affinity Chromatography	http://purl.obolibrary.org/obo/NCIT_C16432	NCIT	affinity chromatography	http://purl.obolibrary.org/obo/MMO_0000845	MMO	False
exact_norm	1.0	agarose gel electrophoresis	Agarose Gel Electrophoresis	http://purl.obolibrary.org/obo/NCIT_C16537	NCIT	agarose gel electrophoresis	http://purl.obolibrary.org/obo/CHMO_0001022	CHMO	False
exact_norm	1.0	analytical centrifugation	Analytical Centrifugation	http://purl.obolibrary.org/obo/NCIT_C18797	NCIT	analytical centrifugation	http://purl.obolibrary.org/obo/CHMO_0002010	CHMO	False
exact_norm	1.0	atomic absorption spectroscopy	Atomic Absorption Spectroscopy	http://purl.obolibrary.org/obo/NCIT_C85574	NCIT	atomic absorption spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000234	CHMO	False
exact_norm	1.0	atomic force microscopy	Atomic Force Microscopy	http://purl.obolibrary.org/obo/NCIT_C17754	NCIT	atomic force microscopy	http://www.bioassayontology.org/bao#BAO_0002523	BAO	False
exact_norm	1.0	atomic force microscopy	Atomic Force Microscopy	http://purl.obolibrary.org/obo/NCIT_C17754	NCIT	atomic force microscopy	http://purl.obolibrary.org/obo/CHMO_0000113	CHMO	False
exact_norm	1.0	bicinchoninic acid assay	Bicinchoninic Acid Assay	http://purl.obolibrary.org/obo/NCIT_C183237	NCIT	bicinchoninic acid assay	http://www.bioassayontology.org/bao#BAO_0002467	BAO	False
exact_norm	1.0	brightfield microscopy	Brightfield Microscopy	http://purl.obolibrary.org/obo/NCIT_C19827	NCIT	brightfield microscopy	http://www.bioassayontology.org/bao#BAO_0000457	BAO	False
exact_norm	1.0	capillary electrophoresis	Capillary Electrophoresis	http://purl.obolibrary.org/obo/NCIT_C17637	NCIT	capillary electrophoresis	http://purl.obolibrary.org/obo/CHMO_0001024	CHMO	False
exact_norm	1.0	cell based bioassay	Cell Based Bioassay	http://purl.obolibrary.org/obo/NCIT_C150876	NCIT	cell-based bioassay	http://purl.obolibrary.org/obo/MMO_0000502	MMO	False
exact_norm	1.0	cell proliferation assay	Cell Proliferation Assay	http://purl.obolibrary.org/obo/NCIT_C116553	NCIT	cell proliferation assay	http://www.bioassayontology.org/bao#BAO_0002805	BAO	False
exact_norm	1.0	cell proliferation assay	Cell Proliferation Assay	http://purl.obolibrary.org/obo/NCIT_C116553	NCIT	cell proliferation assay	http://purl.obolibrary.org/obo/MMO_0000503	MMO	False
exact_norm	1.0	cell proliferation assay	Cell Proliferation Assay	http://purl.obolibrary.org/obo/NCIT_C116553	NCIT	cell proliferation assay	http://purl.obolibrary.org/obo/OBI_0000891	OBI	False
exact_norm	1.0	chromatin immunoprecipitation	Chromatin Immunoprecipitation	http://purl.obolibrary.org/obo/NCIT_C106048	NCIT	chromatin immunoprecipitation	http://purl.obolibrary.org/obo/CHMO_0001694	CHMO	False
exact_norm	1.0	chromatin immunoprecipitation	Chromatin Immunoprecipitation	http://purl.obolibrary.org/obo/NCIT_C106048	NCIT	chromatin immunoprecipitation	http://purl.obolibrary.org/obo/MMO_0000680	MMO	False
exact_norm	1.0	chromatin immunoprecipitation	Chromatin Immunoprecipitation	http://purl.obolibrary.org/obo/NCIT_C106048	NCIT	chromatin immunoprecipitation	http://purl.obolibrary.org/obo/OBI_00001975	OBI	False
exact_norm	1.0	coherent anti stokes raman spectroscopy	Coherent Anti-Stokes Raman Spectroscopy	http://purl.obolibrary.org/obo/NCIT_C160771	NCIT	coherent anti-Stokes Raman spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000661	CHMO	False
exact_norm	1.0	column chromatography	Column Chromatography	http://purl.obolibrary.org/obo/NCIT_C18242	NCIT	column chromatography	http://purl.obolibrary.org/obo/CHMO_0001001	CHMO	False
exact_norm	1.0	column chromatography	Column Chromatography	http://purl.obolibrary.org/obo/NCIT_C18242	NCIT	column chromatography	http://purl.obolibrary.org/obo/MMO_0000468	MMO	False
exact_norm	1.0	computed tomography assisted biopsy	Computed Tomography Assisted Biopsy	http://purl.obolibrary.org/obo/NCIT_C137909	NCIT	computed tomography assisted biopsy	http://purl.obolibrary.org/obo/OBI_0002652	OBI	False
